key,English,Italian
drinkJarHolyWaterMissionaryGDesc,"Water blessed by God. Making you immune to the environment and cure every malicious symptoms.","Acqua benedetta da Dio. Rendendoti immune all'ambiente e curando ogni sintomo."
drinkJarHolyWaterMissionaryGPromptTitle,"Use Holy Water?","Vuoi usare l'Acqua Santa?"
drinkJarHolyWaterMissionaryGPromptDesc,"By using this holy water you will become divine. You will be immune from transforming and polish up your exorcism skills.\n\nAfter using it, return back to your holy relic and start your new journey.","Usando quest'acqua santa diventerai divino. Sarai immune alla trasformazione e migliorerai le tue abilità di esorcismo.\n\nDopodichè, torna alla reliquia per proseguire il pellegrinaggio."
drinkJarHolyWaterMissionaryGTooltip,"You Are Divine.","Sei Divino"
buffHolyWaterGName,"Divine","Divino"
buffHolyWaterGDesc,"Drinking Holy Water made you immune to this environment. You won't transform here.","Bevendo l'Acqua Santa sei immune da quest'ambito. Non puoi trasformarti qui."
buffInfectedMissionaryGName,"Infected","Infetto"
buffInfectedMissionaryGDesc,"You are infected. God has punished you for your sins.","Sei infetto. Dio ti ha punito per i tuoi peccati."
casinoCoinMissionaryG,"Blessed Silver Coin","Moneta d'Argento Benedetta"
casinoCoinMissionaryGDesc,"A blessed silver coin. Currency gained by exorcism, used for gaining various blessings. Furthermore, holding it doesn't count as an act of greed.","Una moneta d'argento benedetta. Valuta ottenuta dall'esorcismo, utilizzata per ottenere benedizioni. Inoltre, possederlo non conta come peccato capitale."
quest_tier2_infested_MissionaryG_clear,"Tier 1 Exorcism","Esorcismo Grado 1"
quest_infestation_MissionaryG_subtitle,"Exorcise the Infested Area","Esorcizzare l'Area Infestata"
quest_tier2_infested_MissionaryG_clear_offer,"God has sent me a vision!  \nThere is some holy water nearby this area. It has attracted several zombies, infesting the area which resides. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that holy water and exorcise every resident found in the facility.\n \nMay God guide me.","Una visione di Dio! \nC'è dell'acqua santa nelle vicinanze, Ha attirato diversi zombi, infestando l'area in cui si trova. \nHo ricevuto una benedizione temporanea. Prima che svanisca, devo andare a prendere qull'acqua santa e esorcizzare l'area infestata.\n \nChe Dio mi benedica."
quest_infestation_MissionaryG_statement,"Exorcise the infested zombies in the area.","Esorcizzare l'area infestata di zombi."
quest_infestation_MissionaryG_response,Exorcism ([DECEA3]{poi.distance} {poi.direction}[-]),Exorcismo ([DECEA3]{poi.distance} {poi.direction}[-])
quest_tier3_infested_MissionaryG_clear,"Tier 2 Exorcism","Esorcismo Grado 2"
quest_tier3_infested_MissionaryG_clear_offer,"God has sent me a vision!  \nThere is some holy water nearby this area. It has attracted several zombies, infesting the area which resides. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that holy water and exorcise every resident found in the facility.\n \nMay God guide me.","Una visione di Dio! \nC'è dell'acqua santa nelle vicinanze, Ha attirato diversi zombi, infestando l'area in cui si trova. \nHo ricevuto una benedizione temporanea. Prima che svanisca, devo andare a prendere qull'acqua santa e esorcizzare l'area infestata.\n \nChe Dio mi benedica."
quest_tier4_infested_MissionaryG_clear,"Tier 3 Exorcism","Esorcismo Grado 3"
quest_tier4_infested_MissionaryG_clear_offer,"God has sent me a vision!  \nThere is some holy water nearby this area. It has attracted several zombies, infesting the area which resides. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that holy water and exorcise every resident found in the facility.\n \nMay God guide me.","Una visione di Dio! \nC'è dell'acqua santa nelle vicinanze, Ha attirato diversi zombi, infestando l'area in cui si trova. \nHo ricevuto una benedizione temporanea. Prima che svanisca, devo andare a prendere qull'acqua santa e esorcizzare l'area infestata.\n \nChe Dio mi benedica."
quest_tier5_infested_MissionaryG_clear,"Tier 4 Exorcism","Esorcismo Grado 4"
quest_tier5_infested_MissionaryG_clear_offer,"God has sent me a vision!  \nThere is some holy water nearby this area. It has attracted several zombies, infesting the area which resides. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that holy water and exorcise every resident found in the facility.\n \nMay God guide me.","Una visione di Dio! \nC'è dell'acqua santa nelle vicinanze, Ha attirato diversi zombi, infestando l'area in cui si trova. \nHo ricevuto una benedizione temporanea. Prima che svanisca, devo andare a prendere qull'acqua santa e esorcizzare l'area infestata.\n \nChe Dio mi benedica."
quest_tier6_infested_MissionaryG_clear,"Tier 5 Exorcism","Esorcismo Grado 5"
quest_tier6_infested_MissionaryG_clear_offer,"God has sent me a vision!  \nThere is some holy water nearby this area. It has attracted several zombies, infesting the area which resides. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that holy water and exorcise every resident found in the facility.\n \nMay God guide me.","Una visione di Dio! \nC'è dell'acqua santa nelle vicinanze, Ha attirato diversi zombi, infestando l'area in cui si trova. \nHo ricevuto una benedizione temporanea. Prima che svanisca, devo andare a prendere qull'acqua santa e esorcizzare l'area infestata.\n \nChe Dio mi benedica."
quest_newJourneyMissionary1G,"I leave the cleansed area behind","Lascio l'area purificata"
quest_newJourneyMissionary2G,"Continuing my journey as a follower of God","Continuando il pellegrinaggio come discepolo di Dio"
quest_newJourneyMissionary3G,"Stripping myself of all my possessions","Lasciando tutti i miei averi"
quest_newJourneyMissionary4G,"I have arrived in a new area of ​​the wasteland","Arrivo in una nuova area delle Lande"
quest_newJourneyMissionary5G,"May God guide me","Che Dio mi benedica"
ttWorldEnd,"Pilgrimaging","Pellegrinaggio"
cntHolyCacheG,"Holy Cache","Cassa Sacra"
cntHolyCacheGDesc,"Cache for receiving blessings. You need to offer blessed silver coins as an offering to God.","Cassa per ricevere benedizioni. Fai un'offerta a Dio offrendo monete d'argento."
action_warningBlessingMissionaryG,"I need to hold my offerings.","Devo tenere in mano le mie offerte."
planterHolyG,"Holy Planter","Piantatoio Sacro"
planterHolyGDesc,"Planter for gaining new blessings by making an offering.","Piantatoio per ricevere nuove benedizioni."
wallTorchMissionaryG,"The Stick","Il Bastone"
wallTorchMissionaryGDesc,"By owning this you will become very popular!","Possedendolo diventerai popolare!"
drinkJarRainbeerMissionaryG,"Rainbeer","Birra Arcobaleno"
drinkJarRainbeerMissionaryGDesc,"When you want to go out with a bang!","Quando vuoi uscire alla grande!"
plantMissionaryG,"Blessed Plant","Pianta Benedetta"
plantMissionaryGDesc,"Plant used for offering.","Pianta usata come offerta."
plantOfferingMissionaryG,"Offering","Offerta"
plantOfferingMissionaryGDesc,"Plant it into the holy planter as an offering to God.","Piantalo nel piantatoio come offerta a Dio."
blessedItemMissionaryGDesc,"This is a blessing made by God. If you want a different blessing, plant it into the holy planter. Furthermore, holding it doesn't count as an act of greed.","Benedizione di Dio. Se desideri una benedizione diversa, piantalo nel piantatoio sacro. Inoltre, possederlo non conta come peccato capitale."
meleeCandyKnifeMissionaryG,"Blessed Candy Knife","Coltello Di Zucchero Benedetto"
meleeCandyKnifeMissionaryGDesc,"Best blessed weapon for exorcism. Owning this means that you are God's favourite.","L'arma migliore per l'esorcismo. Possederlo significa che sei il cocco di Dio."
meleeCandyClubMissionaryG,"Blessed Candy Club","Bastoncino Di Zucchero Benedetto"
meleeCandyClubMissionaryGDesc,"Best blessed tool for destroying. Owning this means that you are God's favourite.","Miglior strumento per distruggere. Possederlo significa che sei il cocco di Dio."
meleeTorchMissionaryG,"The Stick","Il Bastone"
meleeTorchMissionaryDescG,"By owning this you will become very popular!","Possedendolo diventerai popolare!"
blessedAmmoMissionaryGDesc,"This is a blessing made by God. Holding it doesn't count as an act of greed.","Benedizione di Dio. Possederlo non conta come peccato capitale."
meleeSteelClubMissionaryG,"Blessed Club","Mazza Benedetta"
meleeSteelSledgehammerMissionaryG,"Blessed Sledgehammer","Martello Benedetto"
meleeSteelSpearMissionaryG,"Blessed Spear","Lancia Benedetta"
meleeStunBatonMissionaryG,"Blessed Baton","Manganello Benedetto"
meleeSteelKnucklesMissionaryG,"Blessed Knuckles","Tirapugni Benedetto"
meleeHuntingKnifeMissionaryG,"Blessed Knife","Coltello Benedetto"
meleeMacheteMissionaryG,"Blessed Machete","Macete Benedetto"
meleeNailgunMissionaryG,"Blessed Nailgun","Sparachiodi Benedetto "
meleeChainsawMissionaryG,"Blessed Chainsaw","Motosega Benedetta"
meleeAugerMissionaryG,"Blessed Auger","Trivella Benedetta"
gunPistolMissionaryG,"Blessed Pistol","Pistola Benedetta"
gunSMGMissionaryG,"Blessed SMG","Mitragliatrice Benedetta"
gunMagnumMissionaryG,"Blessed Magnum","Magnum Benedetto"
gunDesertVultureMissionaryG,"Blessed Desert Vulture","Avvoltoio Del Deserto Benedetto"
gunPumpShotgunMissionaryG,"Blessed Pump Shotgun","Fucile A Pompa Benedetto"
gunAutoShotgunMissionaryG,"Blessed Auto Shotgun","Fucile Automatico Benedetto"
gunHuntingRifleMissionaryG,"Blessed Rifle","Fucile Benedetto"
gunLeverActionRifleMissionaryG,"Blessed Lever Action Rifle","Fucile A Leva Benedetto"
gunSniperRifleMissionaryG,"Blessed Sniper Rifle","Cecchino Benedetto"
gunAK47MissionaryG,"Blessed AK47","Mitragliatrice AK47 Benedetta"
gunTacticalARMissionaryG,"Blessed AR","Fucile D'Assalto Benedetto"
gunM60MissionaryG,"Blessed M60","Mitragliatrice M60 Benedetta"
ammo9mmBulletBallMissionaryG,"Blessed 9mm","Munizione 9mm Benedetta"
ammo44mmBulletBallMissionaryG,"Blessed 44mm","Munizione 44mm Benedetta"
ammoShotgunShellMissionaryG,"Blessed Shotgun Shell","Bosollo Di Fucile Benedetto"
ammo762mmBulletBallMissionaryG,"Blessed 7.62mm","Munizione 7.62mm Benedetta"
resourceNailMissionaryG,"Blessed Nail","Chiodo Benedetto"
ammoGasCanMissionaryG,"Blessed Gas","Benzina Benedetta"
ammoBundle9mmBulletBallMissionaryG,"Box of Blessed 9mm Ammo (33)","Scatola Di Munizioni 9mm Benedette (33)"
ammoBundle44mmBulletBallMissionaryG,"Box of Blessed 44mm Ammo (33)","Scatola Di Munizioni 44mm Benedette (33)"
ammoBundle762mmBulletBallMissionaryG,"Box of Blessed 7.62mm Ammo (33)","Scatola Di Munizioni 7.62mm Benedette (33)"
ammoBundleShotgunShellMissionaryG,"Box of Blessed Shotgun Shell (33)","Scatola Di Bosolli Di Fucile Benedetti (33)"
resourceBundleNailMissionaryG,"Box of Blessed Nails (33)","Scatola di Chiodi Benedetti (33)"
ammoBundleGasCanMissionaryG,"Box of Blessed Gas (333)","Scatola Di Benzina Benedetta (33)"
silverBundleShapesMissionaryG,"Box of Blessed Silver Blocks (33)","Scatola Di Blocchi D'Argento Benedetti (33)"
blessedAmmoBundleMissionaryGDesc,"Use this item to take the blessed ammo out of the box so that you can load it into a blessed weapon. If you want another blessing, plant it into the holy planter. Furthermore, holding it doesn't count as an act of greed.","Usa questo oggetto per togliere le munizioni dalla scatola e poterle caricare in un'arma benedetta. Se desideri una benedizione diversa, piantalo nel piantatoio sacro. Inoltre, possederlo non conta come peccato capitale."
blessedSilverBlockBundleMissionaryGDesc,"Use this item to take the blessed silver blocks out of the box. If you want another blessing, plant it into the holy planter. Furthermore, holding it doesn't count as an act of greed.","Usa questo oggetto per togliere i blocchi d'argento benedetti dalla scatola. Se desideri una benedizione diversa, piantalo nel piantatoio sacro. Inoltre, possederlo non conta come peccato capitale."
silverShapesMissionaryG:VariantHelper,"Blessed Silver Block","Blocco D'Argento Benedetto"
materialMsilver_shapesG,"Blessed Silver","Argento Benedetto"
silverShapesMissionaryG:VariantHelperDesc,""Silver block blessed by God.","Blocco d'argento benedetto da Dio."
silverShapesMissionaryGDesc,"Silver block blessed by God.","Blocco d'argento benedetto da Dio."
cntHolyCacheRedG,"Holy Cache","Cassa Sacra"
cntHolyCacheTanG,"Holy Cache","Cassa Sacra"
cntHolyCacheBrownG,"Holy Cache","Cassa Sacra"
cntHolyCacheBlueG,"Holy Cache","Cassa Sacra"
cntHolyCacheYellowG,"Holy Cache","Cassa Sacra"
cntHolyCacheAquaG,"Holy Cache","Cassa Sacra"
cntHolyCachePurpleG,"Holy Cache","Cassa Sacra"
cntHolyCacheGreenG,"Holy Cache","Cassa Sacra"
cntHolyCacheGreyG,"Holy Cache","Cassa Sacra"
cntHolyCacheGBlockVariantHelper,"Holy Cache","Cassa Sacra"
armorBlessedHelmetMissionaryG,"Blessed Hat","Cappello Benedetto"
armorBlessedOutfitMissionaryG,"Blessed Cassock","Tonaca Benedetta"
armorBlessedGlovesMissionaryG,"Blessed Gloves","Guanti Benedetti"
armorBlessedBootsMissionaryG,"Blessed Boots","Stivali Benedetti"
buffBlessedSetBonusTooltip,"Blessed Full Set Bonus Active","Bonus Set Completo Benedetto Attivo"
buffBlessedSetBonusName,"Blessed Full Set Bonus","Bonus Set Completo Benedetto"
buffBlessedSetBonusDesc,"A Saint's comfort and security.\n\nReduces the chance of critical injuries by {cvar(.armorPreacherFSBDisplay01:0)}% and infection chances by {cvar(.armorPreacherFSBDisplay02:0)}%.","La comodità e la sicurezza di un santo.\n\nRiduce la probabilità di lesioni critiche del {cvar(.armorPreacherFSBDisplay01:0)}% e le probabilità di infezione del {cvar(.armorPreacherFSBDisplay02:0)}%."
flagWallHungThick44BlackMissionaryG,"Blessed Black Thick44 Flag, Wall Hung","Bandiera Nera Benedetta Da Thick44"
flagTopWallHungThick44BlackMissionaryG,"Blessed Black Thick44 Flag, Top Wall Hung","Bandiera Nera Benedetta Da Thick44"
flagWallHungThick44BlackMissionaryGDesc,"A Blessing made by The Human Man Warrior Thick44.","Una benedizione fatta da The Human Man Warrior Thick44."
flagWallHungThick44RedMissionaryG,"Blessed Red Thick44 Flag, Wall Hung","Bandiera Rossa Benedetta Da Thick44"
flagTopWallHungThick44RedMissionaryG,"Blessed Red Thick44 Flag, Top Wall Hung","Bandiera Rossa Benedetta Da Thick44"
flagWallHungThick44AquaMissionaryG,"Blessed Aqua Thick44 Flag, Wall Hung","Bandiera Acquamarina Benedetta Da Thick44"
flagTopWallHungThick44AquaMissionaryG,"Blessed Aqua Thick44 Flag, Top Wall Hung","Bandiera Aqcuamarina Benedetta Da Thick44"
flagWallHungThick44BrownMissionaryG,"Blessed Brown Thick44 Flag, Wall Hung","Bandiera Marrone Benedetta Da Thick44"
flagTopWallHungThick44BrownMissionaryG,"Blessed Brown Thick44 Flag, Top Wall Hung","Bandiera Marrone Benedetta Da Thick44"
flagWallHungThick44BlueMissionaryG,"Blessed Blue Thick44 Flag, Wall Hung","Bandiera Blu Benedetta Da Thick44"
flagTopWallHungThick44BlueMissionaryG,"Blessed Blue Thick44 Flag, Top Wall Hung","Bandiera Blu Benedetta Da Thick44"
flagWallHungThick44YellowMissionaryG,"Blessed Yellow Thick44 Flag, Wall Hung","Bandiera Gialla Benedetta Da Thick44"
flagTopWallHungThick44YellowMissionaryG,"Blessed Yellow Thick44 Flag, Top Wall Hung","Bandiera Gialla Benedetta Da Thick44"
flagWallHungThick44WhiteMissionaryG,"Blessed White Thick44 Flag, Wall Hung","Bandiera Bianca Benedetta Da Thick44"
flagTopWallHungThick44WhiteMissionaryG,"Blessed White Thick44 Flag, Top Wall Hung","Bandiera Bianca Benedetta Da Thick44"
flagWallHungThick44GreenMissionaryG,"Blessed Green Thick44 Flag, Wall Hung","Bandiera Verde Benedetta Da Thick44"
flagTopWallHungThick44GreenMissionaryG,"Blessed Green Thick44 Flag, Top Wall Hung","Bandiera Verde Benedetta Da Thick44"
flagWallHungThick44PinkMissionaryG,"Blessed Pink Thick44 Flag, Wall Hung","Bandiera Rosa Benedetta Da Thick44"
flagTopWallHungThick44PinkMissionaryG,"Blessed Pink Thick44 Flag, Top Wall Hung","Bandiera Rosa Benedetta Da Thick44"
flagWallHungThick44GreyMissionaryG,"Blessed Grey Thick44 Flag, Wall Hung","Bandiera Grigia Benedetta Da Thick44"
flagTopWallHungThick44GreyMissionaryG,"Blessed Grey Thick44 Flag, Top Wall Hung","Bandiera Grigia Benedetta Da Thick44"
flagWallHungThick44OrangeMissionaryG,"Blessed Orange Thick44 Flag, Wall Hung","Bandiera Arancio Benedetta Da Thick44"
flagTopWallHungThick44OrangeMissionaryG,"Blessed Orange Thick44 Flag, Top Wall Hung","Bandiera Arancio Benedetta Da Thick44"
flagWallHungThick44PurpleMissionaryG,"Blessed Purple Thick44 Flag, Wall Hung","Bandiera Viola Benedetta Da Thick44"
flagTopWallHungThick44PurpleMissionaryG,"Blessed Purple Thick44 Flag, Top Wall Hung","Bandiera Viola Benedetta Da Thick44"
flagThick44BlockMissionaryGVariantHelper,"Blessed Thick44 Flags","Bandiere Benedette Da Thick44"
buff44FlagBlessingMissionaryGName,"Thick44 Blessing","Benedizione Thick44"
buff44FlagBlessingMissionaryGDesc,"You are Blessed by Thick44. \n\nReplenishing your Health, Stamina, Hunger and Thirst.","Sei benedetto da Thick44. \n\nRigenera Salute, Vigore, Fame, Sete."
gunSledgeMissionaryG,"Blessed Robotic Sledge","Martello Robotico Benedetto"
gunTurretMissionaryG,"Blessed Robotic Turret","Torretta Robotica Benedetta"
gunDroneMissionaryG,"Blessed Robotic Drone","Drone Robotico Benedetto"
ammoTurretMissionaryG,"Blessed Turret Ammo","Munizione Per Torretta Robotica Benedetta"
ammoBundleTurretMissionaryG,"Box of Blessed Turret Ammo (33)","Scatola Di Munizioni Per Torretta Robotica Benedette (33)"
vehicleBicycleMissionaryG,"Blessed Bicycle","Bicicletta Benedetta"
vehicleMinibikeMissionaryG,"Blessed Minibike","Minimoto Benedetta"
vehicleMotorcycleMissionaryG,"Blessed Motorcycle","Motocicletta Benedetta"
vehicle4x4MissionaryG,"Blessed 4x4","4x4 Benedetto"
vehicleGyrocopterMissionaryG,"Blessed Gyrocopter","Girocottero Benedetto"
gunBowMissionaryG,"Blessed Bow","Arco Benedetto"
gunCrossboowMissionaryG,"Blessed Crossbow","Balestra Benedetta"
ammoBlessedArrowMissionaryG,"Blessed Arrow","Freccia Benedetta"
ammoBundleBlessedArrowMissionaryG,"Box of Blessed Arrows (33)","Scatola Di Freccie Benedette (33)"
ammoBlessedBoltMissionaryG,"Blessed Bolt","Dardo Benedetto"
ammoBundleBlessedBoltMissionaryG,"Box of Blessed Bolts (33)","Scatola Di Dardi Benedetti (33)"
buffPilgrimagingMissionaryGName,"Pilgrimaging","Pellegrinaggio"
buffPilgrimagingMissionaryGDesc,"You are pilgrimaging in the wasteland.","Stai pellegrinando nelle Lande."
bookPrayerMissionaryG,"Prayer Book","Libro Liturgico"
bookPrayerMissionaryGDesc,"A book cointaining various prayers.","Un libro che contiene preghiere."
drinkJarEmptyMissionaryG,"Empty Jar","Barattolo Vuoto"
drinkJarEmptyMissionaryGDesc,"An empty glass jar can be filled with water.","Un barattolo di vetro vuoto può essere riempito d'acqua"
quest_tier1_fetch_MissionaryG,"Tier 1 Fetch Empty Jar","Recupero Barattolo Vuoto Grado 1"
quest_fetch_MissionaryG_subtitle,"Fetch Empty Jar","Recupera Barattolo Vuoto"
quest_tier1_fetch_MissionaryG_offer,"There is no holy water around this area, I will need to find various ingredients to make one jar of it. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get those ingredients and exorcise some holy water.\n \nMay God guide me.","Non c'è acqua santa nei paraggi, dovró cercare vari ingredienti per farne un barattolo. \nHo ricevuto una benedizione temporanea, prima che svanisca, devo andare a prendere gli ingredienti necessari e esorcizzare l'acqua.\n \nChe Dio mi benedica."
quest_fetch_MissionaryG_statement,"Bring back the equipment","Riporta l'equipaggiamneto"
quest_fetch_MissionaryG_response,Fetch ([DECEA3]{poi.distance} {poi.direction}[-]),Recupero ([DECEA3]{poi.distance} {poi.direction}[-])
quest_tier1_fetch_part2_MissionaryG,"Tier 1 Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera Grado 1"
quest_fetch_part2_MissionaryG_subtitle,"Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera"
quest_tier1_fetch_part2_MissionaryG_offer,"I found an empty jar, which I could use for containing water. Next I need to find some water from a stoup.","Ho trovato un barattolo vuoto, con cui posso usare per contenere l'acqua. Adesso devo trovare un po' di acqua da un'acquasantiera."
quest_tier1_fetch_part3_MissionaryG,"Tier 1 Fetch Prayer Book","Recupero Libro Liturgico Grado 1"
quest_fetch_part3_MissionaryG_subtitle,"Fetch Prayer Book","Recupero Libro Liturgico"
quest_tier1_fetch_part3_MissionaryG_offer,"I found some stoup water, I just need a prayer book for purifying this water into holy water.","Ho trovato un po' di acqua, devo solo trovare un libro liturgico per purificare l'acqua in acqua santa."
quest_tier2_fetch_MissionaryG,"Tier 2 Fetch Empty Jar","Recupero Barattolo Vuoto Grado 2"
quest_tier2_fetch_MissionaryG_offer,"There is no holy water around this area, I will need to find various ingredients to make one jar of it. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that those ingredients and exorcise some holy water.\n \nMay God guide me.","Non c'è acqua santa nei paraggi, dovró cercare vari ingredienti per farne un barattolo. \nHo ricevuto una benedizione temporanea, prima che svanisca, devo andare a prendere gli ingredienti necessari e esorcizzare l'acqua.\n \nChe Dio mi benedica."
quest_tier3_fetch_MissionaryG,"Tier 3 Fetch Empty Jar","Recupero Barattolo Vuoto Grado 3"
quest_tier3_fetch_MissionaryG_offer,"There is no holy water around this area, I will need to find various ingredients to make one jar of it. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that those ingredients and exorcise some holy water.\n \nMay God guide me.","Non c'è acqua santa nei paraggi, dovró cercare vari ingredienti per farne un barattolo. \nHo ricevuto una benedizione temporanea, prima che svanisca, devo andare a prendere gli ingredienti necessari e esorcizzare l'acqua.\n \nChe Dio mi benedica."
quest_tier4_fetch_MissionaryG,"Tier 4 Fetch Empty Jar","Recupero Barattolo Vuoto Grado 4"
quest_tier4_fetch_MissionaryG_offer,"There is no holy water around this area, I will need to find various ingredients to make one jar of it. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that those ingredients and exorcise some holy water.\n \nMay God guide me.","Non c'è acqua santa nei paraggi, dovró cercare vari ingredienti per farne un barattolo. \nHo ricevuto una benedizione temporanea, prima che svanisca, devo andare a prendere gli ingredienti necessari e esorcizzare l'acqua.\n \nChe Dio mi benedica."
quest_tier5_fetch_MissionaryG,"Tier 5 Fetch Empty Jar","Recupero Barattolo Vuoto Grado 5"
quest_tier5_fetch_MissionaryG_offer,"There is no holy water around this area, I will need to find various ingredients to make one jar of it. \nI'm blessed with a temporary protection. Before the blessing fades, I must go get that those ingredients and exorcise some holy water.\n \nMay God guide me.","Non c'è acqua santa nei paraggi, dovró cercare vari ingredienti per farne un barattolo. \nHo ricevuto una benedizione temporanea, prima che svanisca, devo andare a prendere gli ingredienti necessari e esorcizzare l'acqua.\n \nChe Dio mi benedica."
quest_tier2_fetch_part2_MissionaryG,"Tier 2 Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera Grado 2"
quest_tier2_fetch_part2_MissionaryG_offer,"I found an empty jar which I could use for containing water. Next I need to find some water from a stoup.","Ho trovato un barattolo vuoto, con cui posso usare per contenere l'acqua. Adesso devo trovare un po' di acqua da un'acquasantiera."
quest_tier3_fetch_part2_MissionaryG,"Tier 3 Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera Grado 3"
quest_tier3_fetch_part2_MissionaryG_offer,"I found an empty jar which I could use for containing water. Next I need to find some water from a stoup.","Ho trovato un barattolo vuoto, con cui posso usare per contenere l'acqua. Adesso devo trovare un po' di acqua da un'acquasantiera."
quest_tier4_fetch_part2_MissionaryG,"Tier 4 Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera Grado 4"
quest_tier4_fetch_part2_MissionaryG_offer,"I found an empty jar which I could use for containing water. Next I need to find some water from a stoup.","Ho trovato un barattolo vuoto, con cui posso usare per contenere l'acqua. Adesso devo trovare un po' di acqua da un'acquasantiera."
quest_tier5_fetch_part2_MissionaryG,"Tier 5 Fetch Stoup Water","Recupero Acqua Dall'Acquasantiera Grado 5"
quest_tier5_fetch_part2_MissionaryG_offer,"I found an empty jar which I could use for containing water. Next I need to find some water from a stoup.","Ho trovato un barattolo vuoto, con cui posso usare per contenere l'acqua. Adesso devo trovare un po' di acqua da un'acquasantiera."
quest_tier2_fetch_part3_MissionaryG,"Tier 2 Fetch Prayer Book","Recupero Libro Liturgico Grado 2"
quest_tier2_fetch_part3_MissionaryG_offer,"I found some stoup water, I just need a prayer book for purifying this water into holy water.","Ho trovato un po' di acqua, devo solo trovare un libro liturgico per purificare l'acqua in acqua santa."
quest_tier3_fetch_part3_MissionaryG,"Tier 3 Fetch Prayer Book","Recupero Libro Liturgico Grado 3"
quest_tier3_fetch_part3_MissionaryG_offer,"I found some stoup water, I just need a prayer book for purifying this water into holy water.","Ho trovato un po' di acqua, devo solo trovare un libro liturgico per purificare l'acqua in acqua santa."
quest_tier4_fetch_part3_MissionaryG,"Tier 4 Fetch Prayer Book","Recupero Libro Liturgico Grado 4"
quest_tier4_fetch_part3_MissionaryG_offer,"I found some stoup water, I just need a prayer book for purifying this water into holy water.","Ho trovato un po' di acqua, devo solo trovare un libro liturgico per purificare l'acqua in acqua santa."
quest_tier5_fetch_part3_MissionaryG,"Tier 5 Fetch Prayer Book","Recupero Libro Liturgico Grado 5"
quest_tier5_fetch_part3_MissionaryG_offer,"I found some stoup water, I just need a prayer book for purifying this water into holy water.","Ho trovato un po' di acqua, devo solo trovare un libro liturgico per purificare l'acqua in acqua santa."
bucketWaterMissionaryG,"Bucket Of Stoup Water","Secchio D'Acqua Dall'Acquasantiera"
bucketWaterMissionaryGDesc,"Bucket filled with water collected from a church's stoup.","Secchio riempito d'acqua raccolta da un'acquasantiera."
quest_tier1_craft_holy_water_MissionaryG,"Craft Holy Water","Crea Acqua Santa"
